company_id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity
740,0.0,0.0,0.0,0.0,0.07544107016637945,0.0,0.0,0.16570547001717534,0.16570547001717534
741,0.0,0.0156892987654044,0.0,0.0,0.013523714086881874,0.013523714086881874,0.013523714086881874,0.035945891803480096,0.0516351905688845
744,0.0,0.0853353816561836,0.0,0.0,0.0,0.0,0.0853353816561836,0.0,0.0
748,0.00362878302510911,0.01681912044068844,0.0,0.00401323854230713,0.005480038105118545,0.004748315880500985,0.011552252726900076,0.015022481256464475,0.010319940370772478
750,0.0260290404298206,0.00315811781330955,0.0,0.0365688230997995,0.0,0.0,0.00315811781330955,0.02760879893389045,-0.03498906459572965
753,0.0104335219216343,0.04049196749347757,0.0104335219216343,0.04252679583348894,0.0,0.0104335219216343,0.0,0.08193758539895508,0.07990275705894374
756,0.011684783593364676,0.00241846689032325,0.0014847520484619124,0.0014847520484619124,0.00152910641931585,0.00152910641931585,0.00152910641931585,0.03108034332987055,0.0188445225299053
761,0.0,-4.719903278831667e-05,0.0,-0.0005957843996257334,0.0,-0.0005957843996257334,0.0,0.033322198165412896,0.013612440369260117
764,0.0,0.0038258840801178116,0.0,0.0016793957176027335,0.0,0.0,0.0002728607686824666,0.0414222192914416,0.043295846885274214
770,0.00536268445930932,0.05744736375735869,0.00536268445930932,0.01102974706861598,0.00536268445930932,0.00536268445930932,0.00536268445930932,0.06178655021272448,0.0507568031441085
773,0.0,0.02489745714647065,0.0,0.0,0.01396501035282195,0.0,0.006986804975349267,0.0824953253428594,0.06458467317173802
777,0.005779016565097871,0.016759523508887965,0.0019732273624363176,0.0006734672790982353,0.014661534581403365,0.0006734672790982353,0.007454430006623678,0.03174904002572358,0.040380666248889634
781,0.009431339577146048,0.00965908726550086,0.002431180944451212,0.006869312172774354,0.008472474692686664,0.005481984948236001,0.0027434602884439828,0.018083810736975018,0.0062818456020062525
783,0.0,0.003844837509573136,0.0,0.0,0.004062928912611955,0.0011143722998309818,0.0015909341413229453,0.0702560865440876,0.07657291882494975
785,0.0,0.0033855870207416,0.0,0.0,0.0,0.0,0.0,0.0088279971013584,0.0122135841221
787,0.00793782441845733,0.00514597827509271,0.01335559811776319,0.00380427693518516,0.013070840631976522,0.00253072853606991,0.00253072853606991,0.02139574416279093,0.015005086063782053
789,0.024507426295050618,0.00879543704215607,0.008625620155433212,0.026973575344624048,0.0008063604787147941,0.01749907795401363,0.0021646503712015232,0.020583236246384088,-0.03123238800736694
790,0.014673545544269875,0.00877589439804325,0.011044486260960874,0.019685318429922036,0.016546437495850913,0.019685318429922036,0.019685318429922036,0.038603855082450074,0.022682658164919125
792,0.025693989624121897,0.04495569377685119,0.0,0.0406993051236903,0.015365523777252183,0.015365523777252183,0.015365523777252183,0.04539850920310847,0.07534888748039126
799,0.0026907524220859845,0.004005082561222116,0.0,0.0220841398972244,0.0014094510761471076,0.0026907524220859845,0.0026907524220859845,0.025816622336254685,0.0077375650002524015
801,0.00995500132692478,0.0034449437471165134,0.0005939884743679334,0.010266042245899519,0.00069337025419054,0.0027829364451279668,8.472369969030667e-05,0.004349307744453153,-0.010918617594875652
802,0.02473003941397945,0.03887245527677392,0.0,0.02473003941397945,0.03887245527677392,0.06360249469075338,0.06360249469075338,0.002523426030015175,0.01666584189280965
812,0.0,0.03643140059750421,0.0,0.0,0.005454079931835833,0.0021609236682810476,0.0021609236682810476,0.024727418939723755,0.05816857773595534
